0101;ÁGUEDA
0102;ALBERGARIA-A-VELHA
0103;ANADIA
0104;AROUCA
0105;AVEIRO
0106;CASTELO DE PAIVA
0107;ESPINHO
0108;ESTARREJA
0109;SANTA MARIA DA FEIRA
0110;ÍLHAVO
0111;MEALHADA
0112;MURTOSA
0113;OLIVEIRA DE AZEMÉIS
0114;OLIVEIRA DO BAIRRO
0115;OVAR
0116;SÃO JOÃO DA MADEIRA
0117;SEVER DO VOUGA
0118;VAGOS
0119;VALE DE CAMBRA
0201;ALJUSTREL
0202;ALMODÔVAR
0203;ALVITO
0204;BARRANCOS
0205;BEJA
0206;CASTRO VERDE
0207;CUBA
0208;FERREIRA DO ALENTEJO
0209;MÉRTOLA
0210;MOURA
0211;ODEMIRA
0212;OURIQUE
0213;SERPA
0214;VIDIGUEIRA
0301;AMARES
0302;BARCELOS
0303;BRAGA
0304;CABECEIRAS DE BASTO
0305;CELORICO DE BASTO
0306;ESPOSENDE
0307;FAFE
0308;GUIMARÃES
0309;PÓVOA DE LANHOSO
0310;TERRAS DE BOURO
0311;VIEIRA DO MINHO
0312;VILA NOVA DE FAMALICÃO
0313;VILA VERDE
0314;VIZELA
0401;ALFÂNDEGA DA FÉ
0402;BRAGANÇA
0403;CARRAZEDA DE ANSIÃES
0404;FREIXO DE ESPADA À CINTA
0405;MACEDO DE CAVALEIROS
0406;MIRANDA DO DOURO
0407;MIRANDELA
0408;MOGADOURO
0409;TORRE DE MONCORVO
0410;VILA FLOR
0411;VIMIOSO
0412;VINHAIS
0501;BELMONTE
0502;CASTELO BRANCO
0503;COVILHÃ
0504;FUNDÃO
0505;IDANHA-A-NOVA
0506;OLEIROS
0507;PENAMACOR
0508;PROENÇA-A-NOVA
0509;SERTÃ
0510;VILA DE REI
0511;VILA VELHA DE RÓDÃO
0601;ARGANIL
0602;CANTANHEDE
0603;COIMBRA
0604;CONDEIXA-A-NOVA
0605;FIGUEIRA DA FOZ
0606;GÓIS
0607;LOUSÃ
0608;MIRA
0609;MIRANDA DO CORVO
0610;MONTEMOR-O-VELHO
0611;OLIVEIRA DO HOSPITAL
0612;PAMPILHOSA DA SERRA
0613;PENACOVA
0614;PENELA
0615;SOURE
0616;TÁBUA
0617;VILA NOVA DE POIARES
0701;ALANDROAL
0702;ARRAIOLOS
0703;BORBA
0704;ESTREMOZ
0705;ÉVORA
0706;MONTEMOR-O-NOVO
0707;MORA
0708;MOURÃO
0709;PORTEL
0710;REDONDO
0711;REGUENGOS DE MONSARAZ
0712;VENDAS NOVAS
0713;VIANA DO ALENTEJO
0714;VILA VIÇOSA
0801;ALBUFEIRA
0802;ALCOUTIM
0803;ALJEZUR
0804;CASTRO MARIM
0805;FARO
0806;LAGOA
0807;LAGOS
0808;LOULÉ
0809;MONCHIQUE
0810;OLHÃO
0811;PORTIMÃO
0812;SÃO BRÁS DE ALPORTEL
0813;SILVES
0814;TAVIRA
0815;VILA DO BISPO
0816;VILA REAL DE SANTO ANTÓNIO
0901;AGUIAR DA BEIRA
0902;ALMEIDA
0903;CELORICO DA BEIRA
0904;FIGUEIRA DE CASTELO RODRIGO
0905;FORNOS DE ALGODRES
0906;GOUVEIA
0907;GUARDA
0908;MANTEIGAS
0909;MÊDA
0910;PINHEL
0911;SABUGAL
0912;SEIA
0913;TRANCOSO
0914;VILA NOVA DE FOZ CÔA
1001;ALCOBAÇA
1002;ALVAIÁZERE
1003;ANSIÃO
1004;BATALHA
1005;BOMBARRAL
1006;CALDAS DA RAINHA
1007;CASTANHEIRA DE PÊRA
1008;FIGUEIRÓ DOS VINHOS
1009;LEIRIA
1010;MARINHA GRANDE
1011;NAZARÉ
1012;ÓBIDOS
1013;PEDRÓGÃO GRANDE
1014;PENICHE
1015;POMBAL
1016;PORTO DE MÓS
1101;ALENQUER
1102;ARRUDA DOS VINHOS
1103;AZAMBUJA
1104;CADAVAL
1105;CASCAIS
1106;LISBOA
1107;LOURES
1108;LOURINHÃ
1109;MAFRA
1110;OEIRAS
1111;SINTRA
1112;SOBRAL DE MONTE AGRAÇO
1113;TORRES VEDRAS
1114;VILA FRANCA DE XIRA
1115;AMADORA
1116;ODIVELAS
1201;ALTER DO CHÃO
1202;ARRONCHES
1203;AVIS
1204;CAMPO MAIOR
1205;CASTELO DE VIDE
1206;CRATO
1207;ELVAS
1208;FRONTEIRA
1209;GAVIÃO
1210;MARVÃO
1211;MONFORTE
1212;NISA
1213;PONTE DE SOR
1214;PORTALEGRE
1215;SOUSEL
1301;AMARANTE
1302;BAIÃO
1303;FELGUEIRAS
1304;GONDOMAR
1305;LOUSADA
1306;MAIA
1307;MARCO DE CANAVESES
1308;MATOSINHOS
1309;PAÇOS DE FERREIRA
1310;PAREDES
1311;PENAFIEL
